기업번호,발간연도,국가,작성기준,전체쪽수,보고서제목,검증여부,검증형태,비교연도,정보공시1,정보공시2
358,2,2,1,68,1,0,0,4,0,7
359,3,2,1,66,1,0,0,4,0,9
360,3,2,2,54,1,0,0,4,3,4
361,1,2,1,70,1,0,2,4,11,9
362,3,2,1,84,1,1,2,4,13,12
363,1,2,1,126,2,0,2,4,18,14
364,2,2,2,126,2,0,2,4,17,13
365,3,2,2,116,2,0,2,4,14,17
366,1,2,1,94,1,1,2,3,8,9
367,2,2,1,92,1,1,2,4,8,10
368,3,2,2,115,1,1,2,4,5,4
369,3,2,2,115,1,1,2,4,5,4
370,3,2,2,72,1,0,0,4,2,1
371,2,2,2,118,1,0,0,4,13,12
372,3,2,2,122,1,1,2,4,13,12
373,1,2,1,93,2,0,0,3,9,9
374,2,2,1,46,2,0,0,3,11,8
375,3,2,2,54,2,0,0,3,11,10
376,1,2,1,90,1,1,2,4,16,21
377,3,2,2,64,1,1,2,4,12,18
378,3,2,2,27,2,1,2,4,4,8
379,1,2,1,58,1,0,1,4,11,8
380,2,2,2,70,1,0,0,4,10,7
381,3,2,2,86,1,0,0,4,10,5
382,3,2,2,59,3,1,1,3,16,11
383,1,2,1,42,2,1,1,1,7,6
384,2,2,2,64,2,1,1,3,12,9
385,3,2,2,50,1,0,1,3,12,6
386,1,2,1,66,2,1,2,1,15,5
387,3,2,1,62,1,1,2,1,13,7
388,1,2,1,151,1,1,2,1,14,13
389,3,2,2,167,1,1,2,0,14,10
390,2,2,1,33,2,1,2,1,4,2
391,3,2,1,30,2,1,2,1,0,3
392,2,2,2,91,1,1,1,1,13,14
393,3,2,2,92,1,1,1,1,13,15
394,1,2,1,88,2,1,2,1,17,10
395,3,2,2,61,2,1,2,1,12,14
396,3,2,2,65,1,0,0,0,5,4
397,1,2,1,135,1,1,2,1,22,21
398,1,2,1,47,1,0,0,1,0,6
399,3,2,2,42,1,0,0,1,4,4
400,2,2,2,88,1,1,2,1,5,3
401,3,2,2,98,1,1,2,1,7,4
402,2,2,2,35,1,0,0,2,7,6
403,1,2,1,42,5,0,0,1,8,6
404,2,2,2,52,5,0,0,1,12,7
405,3,2,2,52,5,0,0,1,12,7
406,3,2,2,66,2,0,0,0,10,10
407,1,2,1,60,5,1,2,0,10,10
408,2,2,2,76,5,1,2,0,14,16
409,2,2,2,68,5,0,0,0,7,12
410,3,2,2,37,5,0,0,0,9,13
411,2,2,2,61,2,1,2,0,16,11
412,3,2,2,38,2,1,2,0,19,12
413,1,2,1,118,2,0,0,0,5,7
414,2,2,1,99,2,0,0,0,5,7
415,3,2,2,74,2,0,0,0,4,5
416,1,2,1,24,2,0,0,0,7,3
417,2,2,1,12,2,0,0,0,2,6
418,1,2,1,68,2,1,2,0,7,8
419,3,2,2,112,1,1,2,0,8,7
420,1,2,2,52,2,0,0,2,11,6
421,3,2,2,47,2,0,0,2,11,6
422,2,2,1,174,2,0,0,0,10,4
423,3,2,2,146,2,0,0,0,6,1
424,2,2,1,72,2,0,0,0,13,14
425,1,2,1,100,2,0,0,0,6,4
426,2,2,2,74,1,0,0,3,6,7
427,3,2,2,138,1,0,0,0,3,7
428,1,2,1,78,1,0,0,0,5,2
429,2,2,2,67,1,1,2,3,8,7
430,3,2,2,84,1,1,2,3,8,8
431,3,2,2,32,2,0,0,0,5,3
432,4,2,2,72,5,1,2,0,17,12
433,4,2,2,20,1,1,2,4,4,8
434,4,2,2,148,3,1,1,0,14,17
435,4,2,2,49,1,1,2,0,6,8
436,4,2,2,97,1,1,2,0,11,12
437,4,2,2,176,2,1,2,0,12,8
438,4,2,2,82,5,1,2,0,11,12
439,4,2,2,57,4,1,2,0,8,7
440,4,2,2,111,2,1,2,3,13,18
441,4,2,2,146,1,1,2,0,19,19
442,4,2,1,51,1,1,1,3,14,16
443,4,2,2,134,2,1,2,3,14,5
444,4,2,2,94,5,1,2,0,12,14
445,4,2,2,114,5,0,0,0,12,7
446,4,2,2,56,1,1,2,0,9,7
447,4,2,2,124,2,1,2,0,15,11
448,4,2,2,163,1,1,2,0,14,6
